Gateway,Seconds,VUs,RPS,P95_ms,Req_success_rate,Total_CPU,Total_RSS_KB
apollo,2,4,134.8419584042558,15.762579149999999,1,228.00,141320
apollo,3,4,152.931547591301,23.893708999999998,1,228.00,140900
apollo,3,4,167.6260959549003,24.91462455,1,228.00,139340
apollo,3,4,181.12780111451485,27.4909365,1,229.00,137952
apollo,3,9,196.79318002872847,31.420532299999994,1,230.00,135452
apollo,4,9,201.69183438332536,38.4104801,1,230.00,134852
apollo,4,9,216.7993176520219,42.057203,1,231.00,132736
apollo,4,14,224.3443000819042,43.38990225,1,231.00,132608
apollo,4,14,226.60769299881935,45.96080384999999,1,232.00,131688
apollo,5,14,237.23244524853257,52.722899299999995,1,232.00,130520
apollo,5,14,243.75019607155662,56.644349999999996,1,233.00,130364
apollo,5,19,247.81951118085635,59.497719999999994,1,233.00,129564
apollo,6,19,250.22937055769688,65.916327,1,234.00,128472
apollo,6,19,251.89390757553565,69.65556585,1,235.00,128564
apollo,6,19,254.18553581601242,72.1573517,1,235.00,130564
apollo,6,24,260.7721957665562,76.74866435,1,235.00,130712
apollo,7,24,264.79020456167194,81.28772659999998,1,236.00,130332
apollo,7,24,267.8365670391063,85.368769,1,237.00,130392
apollo,7,29,268.25910939511994,90.30454075,1,237.00,134488
apollo,8,29,270.3656054235496,94.190131,1,238.00,136664
apollo,8,29,273.9048597933339,97.30593369999998,1,238.00,137220
apollo,8,29,277.38366470529786,101.95934199999999,1,239.00,140624
apollo,8,34,274.1348980274455,104.76573225,1,239.00,142820
apollo,9,34,278.0604934390036,111.43875715,1,240.00,147948
apollo,9,34,281.332081708603,115.73495939999997,1,240.00,150252
apollo,9,34,281.46888122946666,118.38517980000002,1,241.00,152124
apollo,9,39,281.4520299299856,120.80432844999999,1,241.00,151288
apollo,10,39,282.2361601148148,127.60696979999999,1,241.00,157432
apollo,10,39,284.3512070176567,131.23376324999998,1,242.00,163948
apollo,10,44,287.10575990148567,136.4689749,1,242.00,164460
apollo,11,44,287.3676066524001,140.114524,1,243.00,166800
